,Tool,CHiP-Seq auROC normalized value,GHT-SELEX auROC normalized value
0,Dimont,0.759,0.8125
1,Dimont,0.873,0.858
2,Dimont,0.959,0.6355
3,Dimont,0.9769999999999999,0.49
4,Dimont,0.9670000000000001,0.9045
5,Dimont,0.935,0.8025
6,Dimont,0.7995,0.821
7,Dimont,0.7364999999999999,0.9450000000000001
8,Dimont,0.903,0.602
9,Dimont,0.84725,0.8045
10,Dimont,0.9159999999999999,0.864
11,Dimont,0.827,0.518
12,Dimont,0.9895,0.883
13,Dimont,0.7722500000000001,0.921
14,Dimont,0.9822,0.9624999999999999
15,Dimont,0.991,0.994
16,Dimont,0.901,0.9764999999999999
17,Dimont,0.9012500000000001,0.917
18,Dimont,0.7655000000000001,0.784
19,Dimont,0.8205,0.4486666666666667
20,Dimont,0.78,0.799
21,Dimont,0.7845,0.849
22,Dimont,0.8425,0.6516666666666667
23,Dimont,0.8033333333333333,0.8069999999999999
24,Dimont,0.9795,0.9579999999999999
25,Dimont,0.8845,0.702
26,Dimont,0.828,0.6105
27,Dimont,0.958,0.9335
28,Dimont,0.805,0.896
29,Dimont,0.8025,0.752
30,Dimont,0.783,0.5515
31,Dimont,0.9470000000000001,0.775
32,Dimont,0.9964999999999999,0.79
33,Dimont,0.98,0.757
34,Dimont,0.8815,0.614
35,Dimont,0.781,0.5455
36,ChIPMunk,0.734,0.7895000000000001
37,ChIPMunk,0.863,0.856
38,ChIPMunk,0.9279999999999999,0.8005
39,ChIPMunk,0.96475,0.5175
40,ChIPMunk,0.9624999999999999,0.885
41,ChIPMunk,0.899,0.7295
42,ChIPMunk,0.7769999999999999,0.818
43,ChIPMunk,0.7070000000000001,0.812
44,ChIPMunk,0.8512500000000001,0.604
45,ChIPMunk,0.80475,0.704
46,ChIPMunk,0.8772499999999999,0.75
47,ChIPMunk,0.7766666666666667,0.376
48,ChIPMunk,0.98675,0.9025000000000001
49,ChIPMunk,0.7062499999999999,0.924
50,ChIPMunk,0.9752000000000001,0.9564999999999999
51,ChIPMunk,0.994,0.996
52,ChIPMunk,0.774,0.88
53,ChIPMunk,0.886,0.909
54,ChIPMunk,0.714,0.642
55,ChIPMunk,0.7929999999999999,0.4836666666666667
56,ChIPMunk,0.693,0.979
57,ChIPMunk,0.7755000000000001,0.781
58,ChIPMunk,0.756,0.5936666666666667
59,ChIPMunk,0.795,0.778
60,ChIPMunk,0.969,0.9489999999999998
61,ChIPMunk,0.8069999999999999,0.5565
62,ChIPMunk,0.824,0.6599999999999999
63,ChIPMunk,0.9375,0.9195
64,ChIPMunk,0.744,0.889
65,ChIPMunk,0.792,0.753
66,ChIPMunk,0.731,0.506
67,ChIPMunk,0.9339999999999999,0.536
68,ChIPMunk,0.9944999999999999,0.757
69,ChIPMunk,0.965,0.735
70,ChIPMunk,0.7665,0.63
71,ChIPMunk,0.759,0.5925
72,ProBound,0.6545,0.7184999999999999
73,ProBound,0.831,0.867
74,ProBound,0.9024000000000001,0.794
75,ProBound,0.93975,0.8694999999999999
76,ProBound,0.93325,0.8654999999999999
77,ProBound,0.8342499999999999,0.8115
78,ProBound,0.7315,0.729
79,ProBound,0.704,0.8935
80,ProBound,0.82125,0.6345000000000001
81,ProBound,0.5874999999999999,0.667
82,ProBound,0.9119999999999999,0.804
83,ProBound,0.6629999999999999,0.34
84,ProBound,0.98925,0.881
85,ProBound,0.766,0.906
86,ProBound,0.954,0.9464999999999999
87,ProBound,0.952,0.97
88,ProBound,0.836,0.975
89,ProBound,0.88525,0.863
90,ProBound,0.729,0.789
91,ProBound,0.8434999999999999,0.7599999999999999
92,ProBound,0.626,0.954
93,ProBound,0.7815000000000001,0.864
94,ProBound,0.7835000000000001,0.6046666666666667
95,ProBound,0.6023333333333333,0.743
96,ProBound,0.9744999999999999,0.9373333333333335
97,ProBound,0.802,0.8005
98,ProBound,0.779,0.5945
99,ProBound,0.9195,0.927
100,ProBound,0.765,0.884
101,ProBound,0.654,0.736
102,ProBound,0.7064999999999999,0.7729999999999999
103,ProBound,0.7945,0.494
104,ProBound,0.9675,0.925
105,ProBound,0.933,0.743
106,ProBound,0.7775000000000001,0.783
107,ProBound,0.7164999999999999,0.756
108,MEME,0.7195,0.831
109,MEME,0.815,0.832
110,MEME,0.9326000000000001,0.5645
111,MEME,0.9427499999999999,0.47850000000000004
112,MEME,0.9485000000000001,0.87
113,MEME,0.8837499999999999,0.7144999999999999
114,MEME,0.7769999999999999,0.815
115,MEME,0.6995,0.9125
116,MEME,0.8545,0.6234999999999999
117,MEME,0.8005,0.714
118,MEME,0.8682500000000001,0.699
119,MEME,0.7186666666666667,0.408
120,MEME,0.989,0.88
121,MEME,0.66975,0.93
122,MEME,0.9705999999999999,0.945
123,MEME,0.985,0.99
124,MEME,0.838,0.917
125,MEME,0.8799999999999999,0.802
126,MEME,0.7235,0.716
127,MEME,0.77,0.5526666666666668
128,MEME,0.637,0.842
129,MEME,0.7625,0.772
130,MEME,0.7885,0.5906666666666667
131,MEME,0.6303333333333333,0.791
132,MEME,0.974,0.9396666666666667
133,MEME,0.8205,0.646
134,MEME,0.8335,0.5895
135,MEME,0.9335,0.9275
136,MEME,0.735,0.904
137,MEME,0.8,0.752
138,MEME,0.7075,0.5085000000000001
139,MEME,0.906,0.486
140,MEME,0.9904999999999999,0.741
141,MEME,0.956,0.758
142,MEME,0.786,0.25
143,MEME,0.7235,0.5525
144,Autoseed,0.736,0.7015
145,Autoseed,0.84,0.847
146,Autoseed,0.8987999999999999,0.7
147,Autoseed,0.95975,0.52
148,Autoseed,0.958,0.864
149,Autoseed,0.84925,0.7915
150,Autoseed,0.7324999999999999,0.785
151,Autoseed,0.6955,0.9465
152,Autoseed,0.85575,0.61
153,Autoseed,0.71925,0.7
154,Autoseed,0.8885000000000001,0.752
155,Autoseed,0.7120000000000001,0.427
156,Autoseed,0.9895,0.8815
157,Autoseed,0.645,0.93
158,Autoseed,0.9720000000000001,0.9455
159,Autoseed,0.993,0.996
160,Autoseed,0.8752500000000001,0.888
161,Autoseed,0.7050000000000001,0.721
162,Autoseed,0.7255,0.672
163,Autoseed,0.648,0.94
164,Autoseed,0.7685,0.836
165,Autoseed,0.8105,0.618
166,Autoseed,0.7166666666666667,0.785
167,Autoseed,0.969,0.9443333333333334
168,Autoseed,0.7855,0.7635000000000001
169,Autoseed,0.8260000000000001,0.732
170,Autoseed,0.889,0.9279999999999999
171,Autoseed,0.763,0.892
172,Autoseed,0.717,0.817
173,Autoseed,0.669,0.6745
174,Autoseed,0.907,0.773
175,Autoseed,0.973,0.742
176,Autoseed,0.808,0.47
177,Autoseed,0.7224999999999999,0.64
178,Homer,0.7305,0.773
179,Homer,0.832,0.838
180,Homer,0.8876,0.889
181,Homer,0.919,0.45299999999999996
182,Homer,0.9597499999999999,0.886
183,Homer,0.8552500000000001,0.6759999999999999
184,Homer,0.7705,0.877
185,Homer,0.698,0.7395
186,Homer,0.84125,0.6475
187,Homer,0.7494999999999999,0.727
188,Homer,0.8415,0.606
189,Homer,0.7086666666666667,0.433
190,Homer,0.989,0.8835
191,Homer,0.78025,0.902
192,Homer,0.9628,0.9299999999999999
193,Homer,0.953,0.965
194,Homer,0.892,0.9195
195,Homer,0.8847499999999999,0.852
196,Homer,0.7204999999999999,0.558
197,Homer,0.8055,0.4713333333333333
198,Homer,0.638,0.513
199,Homer,0.783,0.838
200,Homer,0.8155,0.6123333333333333
201,Homer,0.7756666666666666,0.7444999999999999
202,Homer,0.9744999999999999,0.9523333333333334
203,Homer,0.755,0.55
204,Homer,0.8255,0.6775
205,Homer,0.9215,0.9039999999999999
206,Homer,0.764,0.893
207,Homer,0.7785,0.737
208,Homer,0.6970000000000001,0.5435
209,Homer,0.9085,0.625
210,Homer,0.985,0.726
211,Homer,0.929,0.687
212,Homer,0.7484999999999999,0.642
213,Homer,0.7215,0.4865
214,STREME,0.7185,0.6930000000000001
215,STREME,0.817,0.753
216,STREME,0.9238,0.477
217,STREME,0.9385,0.5145
218,STREME,0.93825,0.833
219,STREME,0.8747499999999999,0.76
220,STREME,0.7755000000000001,0.814
221,STREME,0.716,0.901
222,STREME,0.85225,0.586
223,STREME,0.7767499999999999,0.708
224,STREME,0.86675,0.632
225,STREME,0.6960000000000001,0.482
226,STREME,0.98925,0.8815
227,STREME,0.6655,0.603
228,STREME,0.9662,0.9404999999999999
229,STREME,0.991,0.991
230,STREME,0.883,0.8775
231,STREME,0.88625,0.885
232,STREME,0.6975,0.546
233,STREME,0.766,0.7113333333333333
234,STREME,0.608,0.541
235,STREME,0.7775000000000001,0.787
236,STREME,0.8055,0.5956666666666667
237,STREME,0.8093333333333333,0.776
238,STREME,0.9664999999999999,0.9420000000000001
239,STREME,0.8125,0.6839999999999999
240,STREME,0.813,0.613
241,STREME,0.933,0.9279999999999999
242,STREME,0.76,0.889
243,STREME,0.7965,0.729
244,STREME,0.7095,0.549
245,STREME,0.9095,0.465
246,STREME,0.9915,0.731
247,STREME,0.952,0.728
248,STREME,0.7505,0.391
249,STREME,0.726,0.5145
250,DimontHTS,0.7275,0.7605
251,DimontHTS,0.798,0.659
252,DimontHTS,0.9219999999999999,0.817
253,DimontHTS,0.8802500000000001,0.5780000000000001
254,DimontHTS,0.9482499999999999,0.875
255,DimontHTS,0.8415,0.8180000000000001
256,DimontHTS,0.7595000000000001,0.79
257,DimontHTS,0.7015,0.8394999999999999
258,DimontHTS,0.835,0.609
259,DimontHTS,0.78225,0.6895
260,DimontHTS,0.874,0.737
261,DimontHTS,0.633,0.37
262,DimontHTS,0.98675,0.8845000000000001
263,DimontHTS,0.64,0.931
264,DimontHTS,0.9722,0.946
265,DimontHTS,0.82275,0.912
266,DimontHTS,0.6995,0.747
267,DimontHTS,0.8220000000000001,0.6913333333333335
268,DimontHTS,0.675,0.99
269,DimontHTS,0.7755000000000001,0.832
270,DimontHTS,0.779,0.6349999999999999
271,DimontHTS,0.5546666666666668,0.735
272,DimontHTS,0.9644999999999999,0.9336666666666668
273,DimontHTS,0.6755,0.7075
274,DimontHTS,0.754,0.6595
275,DimontHTS,0.8045,0.835
276,DimontHTS,0.772,0.865
277,DimontHTS,0.662,0.783
278,DimontHTS,0.6034999999999999,0.4965
279,DimontHTS,0.657,0.62
280,DimontHTS,0.963,0.749
281,DimontHTS,0.799,0.757
282,DimontHTS,0.7235,0.6585000000000001
283,ExplaiNN,0.7204999999999999,0.8069999999999999
284,ExplaiNN,0.843,0.784
285,ExplaiNN,0.9242000000000001,0.9179999999999999
286,ExplaiNN,0.9339999999999999,0.4655
287,ExplaiNN,0.9435,0.8600000000000001
288,ExplaiNN,0.86875,0.72
289,ExplaiNN,0.7615000000000001,0.825
290,ExplaiNN,0.6955,0.7195
291,ExplaiNN,0.825,0.6005
292,ExplaiNN,0.6072500000000001,0.631
293,ExplaiNN,0.8717499999999999,0.64
294,ExplaiNN,0.6786666666666666,0.377
295,ExplaiNN,0.9852500000000001,0.8995
296,ExplaiNN,0.7082499999999999,0.92
297,ExplaiNN,0.9728,0.9495
298,ExplaiNN,0.994,0.997
299,ExplaiNN,0.853,0.793
300,ExplaiNN,0.8552500000000001,0.847
301,ExplaiNN,0.6885,0.688
302,ExplaiNN,0.7705,0.4446666666666667
303,ExplaiNN,0.678,0.813
304,ExplaiNN,0.7535000000000001,0.807
305,ExplaiNN,0.713,0.5766666666666667
306,ExplaiNN,0.831,0.7755000000000001
307,ExplaiNN,0.97,0.9516666666666667
308,ExplaiNN,0.742,0.491
309,ExplaiNN,0.7324999999999999,0.501
310,ExplaiNN,0.788,0.8
311,ExplaiNN,0.702,0.752
312,ExplaiNN,0.638,0.708
313,ExplaiNN,0.6884999999999999,0.6225
314,ExplaiNN,0.9185,0.587
315,ExplaiNN,0.9955,0.763
316,ExplaiNN,0.857,0.692
317,ExplaiNN,0.764,0.457
318,ExplaiNN,0.692,0.5165
319,RCade,0.743,0.8140000000000001
320,RCade,0.681,0.539
321,RCade,0.9298,0.4825
322,RCade,0.9327500000000001,0.4675
323,RCade,0.95675,0.861
324,RCade,0.8360000000000001,0.6865
325,RCade,0.7324999999999999,0.788
326,RCade,0.6905,0.896
327,RCade,0.81475,0.5725
328,RCade,0.8150000000000001,0.7155
329,RCade,0.78175,0.347
330,RCade,0.6046666666666667,0.339
331,RCade,0.98825,0.881
332,RCade,0.646,0.927
333,RCade,0.9718,0.953
334,RCade,0.994,0.996
335,RCade,0.859,0.929
336,RCade,0.8752500000000001,0.86
337,RCade,0.723,0.584
338,RCade,0.363,0.7203333333333334
339,RCade,0.629,0.629
340,RCade,0.714,0.708
341,RCade,0.6545000000000001,0.5646666666666667
342,RCade,0.8136666666666666,0.755
343,RCade,0.95,0.9106666666666667
344,RCade,0.78,0.668
345,RCade,0.6930000000000001,0.5005
346,RCade,0.862,0.821
347,RCade,0.734,0.869
348,RCade,0.712,0.73
349,RCade,0.6585000000000001,0.4555
350,RCade,0.868,0.332
351,RCade,0.873,0.701
352,RCade,0.871,0.651
353,RCade,0.581,0.252
354,RCade,0.685,0.4875
